iter	Passed	Remaining
678	31938	53905
679	31984	53857
680	32033	53812
681	32079	53763
682	32126	53716
683	32168	53661
684	32217	53617
685	32264	53570
686	32304	53511
687	32350	53462
688	32391	53406
689	32438	53358
690	32481	53304
691	32530	53261
692	32575	53211
693	32618	53158
694	32666	53111
695	32712	53063
696	32761	53020
697	32806	52969
698	32851	52918
699	32892	52863
700	32938	52814
701	32984	52765
702	33031	52718
703	33076	52667
704	33127	52627
705	33175	52583
706	33223	52538
707	33273	52494
708	33321	52449
709	33364	52396
710	33414	52354
711	33465	52313
712	33522	52282
713	33574	52243
714	33630	52210
715	33678	52163
716	33729	52123
717	33777	52077
718	33827	52035
719	33879	51995
720	33928	51950
721	33979	51910
722	34026	51862
723	34076	51820
724	34124	51775
725	34170	51726
726	34216	51677
727	34262	51628
728	34307	51578
729	34355	51533
730	34407	51494
731	34460	51455
732	34510	51413
733	34556	51363
734	34600	51312
735	34652	51273
736	34700	51226
737	34755	51191
738	34804	51147
739	34848	51095
740	34901	51056
741	34945	51005
742	34994	50961
743	35042	50915
744	35089	50868
745	35138	50823
746	35184	50774
747	35232	50728
748	35276	50677
749	35326	50634
750	35371	50584
751	35420	50540
752	35469	50495
753	35515	50446
754	35556	50391
755	35603	50343
756	35645	50289
757	35691	50240
758	35733	50186
759	35783	50144
760	35828	50093
761	35874	50045
762	35918	49994
763	35961	49941
764	36014	49902
765	36058	49850
766	36111	49811
767	36157	49764
768	36201	49711
769	36259	49680
770	36310	49639
771	36358	49593
772	36407	49547
773	36454	49500
774	36499	49450
775	36543	49399
776	36589	49350
777	36630	49295
778	36679	49251
779	36732	49212
780	36778	49163
781	36825	49116
782	36877	49076
783	36927	49033
784	36969	48978
785	37014	48929
786	37057	48876
787	37111	48837
788	37157	48789
789	37200	48737
790	37248	48691
791	37296	48645
792	37339	48593
793	37386	48545
794	37427	48490
795	37476	48446
796	37520	48394
797	37563	48343
798	37609	48294
799	37650	48239
800	37702	48198
801	37749	48151
802	37800	48109
803	37847	48062
804	37894	48015
805	37951	47980
806	38010	47948
807	38062	47908
808	38108	47858
809	38157	47815
810	38202	47764
811	38246	47713
812	38294	47668
813	38340	47619
814	38382	47566
815	38429	47519
816	38473	47467
817	38515	47414
818	38560	47365
819	38609	47320
820	38655	47271
821	38696	47217
822	38750	47178
823	38797	47131
824	38852	47093
825	38902	47050
826	38953	47008
827	38997	46957
828	39046	46912
829	39093	46865
830	39142	46820
831	39183	46766
832	39236	46725
833	39287	46683
834	39337	46640
835	39388	46597
836	39437	46552
